"Item Code",Description,Qty,UOM,Currency,Price,"Reference Doc","GR Date","Plant Code","Plant Name","Vat Inc.","PO Number","GR Number","Reason for Failure"
4000009231,"Fruit,ube,halaya,frozen,450g/pk",960,PAC,PHP,81292.8,5087,"?46,014.00",ZL20,"ZF Logistics Taytay",91047.94,3083905386,5016655418,"Invalid Date Format: ?46,014.00"
4000009231,"Fruit,ube,halaya,frozen,450g/pk",960,PAC,PHP,81292.8,5087,"?46,014.00",ZL20,"ZF Logistics Taytay",91047.94,3083905386,5016655418,"Invalid Date Format: ?46,014.00"
4000009231,"Fruit,ube,halaya,frozen,450g/pk",960,PAC,PHP,81292.8,5087,"?46,014.00",ZL20,"ZF Logistics Taytay",91047.94,3083905386,5016655418,"Invalid Date Format: ?46,014.00"
4000009231,"Fruit,ube,halaya,frozen,450g/pk",960,PAC,PHP,81292.8,5087,"?46,014.00",ZL20,"ZF Logistics Taytay",91047.94,3083905386,5016655418,"Invalid Date Format: ?46,014.00"
4000009231,"Fruit,ube,halaya,frozen,450g/pk",960,PAC,PHP,81292.8,5087,"?46,014.00",ZL20,"ZF Logistics Taytay",91047.94,3083905386,5016655418,"Invalid Date Format: ?46,014.00"
4000009231,"Fruit,ube,halaya,frozen,450g/pk",960,PAC,PHP,81292.8,5087,"?46,014.00",ZL20,"ZF Logistics Taytay",91047.94,3083905386,5016655418,"Invalid Date Format: ?46,014.00"
4000009231,"Fruit,ube,halaya,frozen,450g/pk",960,PAC,PHP,81292.8,5087,"?46,014.00",ZL20,"ZF Logistics Taytay",91047.94,3083905386,5016655418,"Invalid Date Format: ?46,014.00"
4000009231,"Fruit,ube,halaya,frozen,450g/pk",280,PAC,PHP,23710.4,5087,"?46,014.00",ZL20,"ZF Logistics Taytay",26555.65,3083905386,5016655418,"Invalid Date Format: ?46,014.00"
4000000057,"Fruit,langka,sweetened,500gm/pk",900,PAC,PHP,69615,5093,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",77968.8,3083864354,5016668236,"Invalid Date Format: ?46,018.00"
4000000057,"Fruit,langka,sweetened,500gm/pk",900,PAC,PHP,69615,5093,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",77968.8,3083864354,5016668236,"Invalid Date Format: ?46,018.00"
4000000057,"Fruit,langka,sweetened,500gm/pk",900,PAC,PHP,69615,5093,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",77968.8,3083864354,5016668236,"Invalid Date Format: ?46,018.00"
4000000057,"Fruit,langka,sweetened,500gm/pk",900,PAC,PHP,69615,5093,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",77968.8,3083864354,5016668236,"Invalid Date Format: ?46,018.00"
4000000057,"Fruit,langka,sweetened,500gm/pk",700,PAC,PHP,54145,5093,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",60642.4,3083864354,5016668236,"Invalid Date Format: ?46,018.00"
4000000058,"Dessert,leche flan,500gm/pk",800,PAC,PHP,72984,5091,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",81742.08,3083905384,5016668964,"Invalid Date Format: ?46,018.00"
4000000058,"Dessert,leche flan,500gm/pk",800,PAC,PHP,72984,5091,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",81742.08,3083905384,5016668964,"Invalid Date Format: ?46,018.00"
4000000058,"Dessert,leche flan,500gm/pk",800,PAC,PHP,72984,5091,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",81742.08,3083905384,5016668964,"Invalid Date Format: ?46,018.00"
4000000058,"Dessert,leche flan,500gm/pk",800,PAC,PHP,72984,5091,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",81742.08,3083905384,5016668964,"Invalid Date Format: ?46,018.00"
4000000058,"Dessert,leche flan,500gm/pk",800,PAC,PHP,72984,5091,"?46,018.00",ZL07,"ZF Logistics Bulacan Cold",81742.08,3083905384,5016668964,"Invalid Date Format: ?46,018.00"
4000000057,"Fruit,langka,sweetened,500gm/pk",960,PAC,PHP,74256,5094,"?46,018.00",ZL20,"ZF Logistics Taytay",83166.72,3083864347,5016672436,"Invalid Date Format: ?46,018.00"
